user_id,event_type,timestamp
1,login,2024-04-01 09:00:00
1,click,2024-04-01 09:00:15
1,view,2024-04-01 09:01:10
1,logout,2024-04-01 09:05:00
1,login,2024-04-02 10:00:00
1,click,2024-04-02 10:00:25
2,login,2024-04-01 08:45:00
2,view,2024-04-01 08:46:10
2,click,2024-04-01 08:47:20
2,logout,2024-04-01 08:55:00
2,login,2024-04-02 11:00:00
2,click,2024-04-02 11:00:45
3,login,2024-04-01 07:30:00
3,view,2024-04-01 07:31:40
3,click,2024-04-01 07:32:10
3,logout,2024-04-01 07:40:00
3,login,2024-04-02 09:15:00
3,click,2024-04-02 09:16:05
4,login,2024-04-01 12:00:00
4,view,2024-04-01 12:01:00
4,click,2024-04-01 12:01:30
4,logout,2024-04-01 12:10:00
4,login,2024-04-02 13:00:00
4,click,2024-04-02 13:00:40
5,login,2024-04-01 14:00:00
5,view,2024-04-01 14:02:00
5,click,2024-04-01 14:02:35
5,logout,2024-04-01 14:15:00
5,login,2024-04-02 15:00:00
5,click,2024-04-02 15:01:00
6,login,2024-04-01 16:00:00
6,click,2024-04-01 16:00:20
6,view,2024-04-01 16:01:10
6,logout,2024-04-01 16:05:00
6,login,2024-04-02 17:00:00
6,click,2024-04-02 17:00:55
7,login,2024-04-01 18:00:00
7,view,2024-04-01 18:01:30
7,click,2024-04-01 18:02:10
7,logout,2024-04-01 18:10:00
7,login,2024-04-02 19:00:00
7,click,2024-04-02 19:00:45
8,login,2024-04-01 20:00:00
8,view,2024-04-01 20:01:00
8,click,2024-04-01 20:01:50
8,logout,2024-04-01 20:10:00
